year,AU,FR,GB,IN,SE,US
2000,-110032.8606076771,-2720780.640516057,-728434.8892569701,-16969796.161981054,-176918.26037471017,-5270005.328539244
2001,-113045.502641733,-985903.2843104255,-735102.3396506121,-17553218.92139206,-176904.54549606438,-3566595.057192535
2002,-84781.58994371326,-2804693.553475869,-741789.7902023313,-17673929.00971271,-176480.8865269892,-5489537.88760287
2003,-111056.68448866377,44836393.52491083,-548973.7805533834,55960381.74965401,-172288.85435175677,-4459529.298427174
2004,638754.2955641584,-2482365.7422007965,-632292.6994661601,-19091717.15827768,-175183.1412221763,-5656897.414604903
2005,-80968.03860058784,-2911933.1391543313,-762448.9783546674,57012306.134852655,-177054.6095201192,-490231.426702613
2006,-91391.38914443672,8093684.788038858,4695469.395781658,-19201017.337201532,-178580.5576991054,36956398.90829982
2007,-127661.5688662955,-2960992.2418357916,-780319.4067411815,11317527.84084802,-180835.94567223877,13079178.445871469
2008,-131459.8280300987,-2985625.744613162,-775308.0436194259,-21564413.78009879,-183725.63427869527,-4859432.178817736
2009,-3699.7685907449863,-2838962.112520134,5551429.502887698,-10757821.210202815,-177792.14941102703,4597377.753849437
2010,-133475.67052001512,-2255874.8235822185,-814249.7237828716,52628934.704426974,292737.73247956764,51607510.76021365
2011,3251119.9536589743,-3151943.3550700536,-834377.6172854343,-18539595.68642069,-194189.90004655605,135063140.5539519
2012,884942.9486373836,-3083749.8784250086,-859347.054284237,93389768.70375335,-198752.0171424213,22435643.2641483
2013,-18695.07481360158,-3342964.318045993,-887213.9578897859,-22525538.91300243,-203876.6707761715,379822.9873019179
2014,33360.53763407533,-3451769.477214829,-139659.7400138119,164857011.05463585,2097288.4888560665,-7334015.073158104
2015,-151542.374306826,14339335.96765107,-934550.7974968452,258741450.92240977,-213063.6931219748,2133517.672030833
2016,72706.06524596775,-3637548.837134232,-954011.5504171258,275226198.28765047,-216474.67651403882,33330660.031989783
